Station Name,Station Address,City,Zip,Phone,Hours,Charger Network,Latitutde,Longitude,Score,Businesses
BEVERLY HILLS,438 N Beverly Dr,Beverly Hills,90210,,24 hours daily,ChargePoint Network,34.07088,-118.402363,9,"Starbucks, The Coffee Bean & Tea Leaf, Nic's Beverly Hills, Nate'n Al Delicatessen, Sharky's Woodfired Mexican Grill, Wolfgang's Steakhouse, Il Tramezzino, Monsieur Marcel, The Farm of Beverly Hills"
FAIRFAX,1942 Sir Francis Drake Blvd,Fairfax,94930,,24 hours daily,ChargePoint Network,37.9875629,-122.5890331,9,"Ghiringhelli's Pizzeria, The Hummingbird, Fradelizio's in Fairfax, Cafe Lotus, Fair Fix Cafe, Fairfax Coffee Roastery, Perry's Delicatessen No 3, Grilly's Restaurant, Fairfax Coffee Roastery"
BEVERLY HILLS,225 N Canon Dr,Beverly Hills,90212,,24 hours daily,ChargePoint Network,34.068409,-118.3989029,9,"Mastro's Steakhouse, Scarpetta, Bouchon, Paninoteca By Scarpetta, The Rooftop Grill at Montage Beverly Hills, Parq Bar, Afternoon Tea at Parq - Montage, Afternoon Tea, Nozawa Bar"
Northridge Fashion Center,9301 Tampa Ave,Northridge,91324,,24 hours daily,,34.2391367,-118.5536313,9,"Ruby Thai, Wow Bento & Roll, Auntie Anne's Pretzels, Dairy Queen, Bonefish Grill, Subway, California Pizza Kitchen, Donatello's Pizza, Tommie's Hamburgers"
CCSF-SFMTA,255 3rd St,San Francisco,94103,,24 hours daily,ChargePoint Network,37.7845657,-122.3994667,9,"Cafe Clementine, Shiki, San Francisco Travel, Starbucks, What's Up Dog, Starbucks, San Francisco Travel, Shiki, What's Up Dog"
City of Davis - Parking Lot,207 F St,Davis,95616,,24 hours daily,,38.5438306,-121.7400938,9,"Sunrise Restaurant, City Hall Tavern, Davis Sushi Buffet, Root Of Happiness, Mishka's Cafe, Icekrimski Cafe, Starbucks, Taqueria El Burrito, Manna Korean Restaurant"
101 ELLSWORTH,101 S Ellsworth Ave,San Mateo,94401,,24 hours daily,ChargePoint Network,37.5663336,-122.3243904,9,"Creations Dessert Express, Cha Cha Cha Cuba, Maru Maru, Old Town Sushi, O'Neill's Irish Pub, 31st Union, Himawari, Tpumps, Restaurant Bay Watch"
US BANK TOWER,663 W 5th St,Los Angeles,90071,,24 hours daily,ChargePoint Network,34.0506183,-118.254551,9,"Barista Society Coffee Boutique, Mendocino Farms, Trimana, McCormick & Schmick's, Petite Cafe, The Coffee Bean & Tea Leaf, Esaan - A Taste Of  Thai, Bunker Hill Bar & Grill, Starbucks"
WALNUT CREEK,1625 Locust St,Walnut Creek,94596,,24 hours daily,ChargePoint Network,37.900959,-122.0626373,9,"Katy's Kreek, Bedford Gallery, Lettuce Restaurant & Catering, Montecatini Ristorante, Crepes Ooh La La, Kaiwa Sushi, Massimo Ristorante, Mr Lucky's Bar & Grill, Vitality Bowls"
CITY OF LA,101-115 E 4th St,Los Angeles,90013,,24 hours daily,ChargePoint Network,34.047854,-118.2468473,9,"Dinner in Los Angeles, Bco Mercat, 2A Gallery, ART SQuare at Downtown LA Art Walk, Sushi Zo, The Must, Simply Salad, Pete's Cafe & Bar, Pete's Los Angeles"
CITY OF SOLVANG,Alisal Rd,Solvang,93463,,24 hours daily,ChargePoint Network,34.5952187,-120.1380157,9,"Bodega de Espaa, Jenger's Exclusive Expressions, Cabernet Bistro, Bit O'denmark Inc, Kabuki New Spot, Viking Garden Restaurant, Bit O' Denmark, Viking Garden Cellars, Birkholm's Bakery& Cafe"
AMSOLR CORP,1121 Garnet Ave,San Diego,92109,,24 hours daily,ChargePoint Network,32.7975922,-117.2494888,9,"Zenn Five, Lantern, Chalkboard Deli, Latin Chef, The Hookah Lab, Hookah Lounge, PB Mika Sushi, McDonald's, Zen 5 Sushi, HookMeUp Grill"
Plaza Escuela,1177 Locust Street,Walnut Creek,94596,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,37.8957739,-122.061438,9,"The Cheesecake Factory, Starbucks, Panera Bread, Ike's, Ruth's Chris Steak House, Citra Grill, Buckhorn Grill, Century Walnut Creek 14 and XD, Chipotle Mexican Grill"
CCSF-SFMTA,333 Post St,San Francisco,94108,,24 hours daily,ChargePoint Network,37.7887517,-122.4072216,9,"After Osha - Thai Grab N Go, Emporio Rulli Union Square, Starbucks, Bancarella, OneUP Restaurant & Lounge, Stanley's Steamers, Starbucks, Cohen Rese Gallery, Gioia Fine art"
SAN JOSE,200 E Santa Clara St,San Jose,95113,,24 hours daily,ChargePoint Network,37.3381439,-121.8854494,9,"Lan Noodle Bistro, Taqueria San Jose, Lee's Sandwiches, Coffee Cart at City Hall, Lee's Sandwiches, Taqueria San Jose, Da Noodle, Coffee Cart at City Hall, Lan Noodle Bistro"
CENTURY PARK,2000 Avenue of the Stars,Los Angeles,90067,,24 hours daily,ChargePoint Network,34.0582009,-118.4148123,9,"Breeze, The Coffee Bean & Tea Leaf, The Stand, Annenberg Space For Photography, Cuvee, Piknic - Century City, Skylight Studios, Habanero Grill, Sen Asian Kitchen"
Long Beach Hilton - Valet,2 World Trade Center,Long Beach,90834,,24 hours daily; pay lot,,33.7674107,-118.1993371,9,"FullBloomTea.com, World Trade Center Temptation Cafe, City Grill, Mirage, Kelly's Coffee & Fudge, World Trade Cafe, Debbie's Cafe, Kelly's Coffee and Fudge Factory, Jersey Mike's Subs"
SAN JOSE,200 E Santa Clara St,San Jose,95112,,24 hours daily,ChargePoint Network,37.3381439,-121.8854494,9,"Lan Noodle Bistro, Taqueria San Jose, Lee's Sandwiches, Coffee Cart at City Hall, Lee's Sandwiches, Taqueria San Jose, Da Noodle, Coffee Cart at City Hall, Lan Noodle Bistro"
SAN JOSE,128-268 California 82,San Jose,95113,,24 hours daily,ChargePoint Network,37.3306416,-121.8873012,9,"Caffe Frascati, Il Fornaio, Pho 69, Original Joe's San Jose, AJ's Hot Dogs, Express Deli Cafe, Shellena's Cafe, Subway, Aj's Deli Cafe"
BEVERLY HILLS,225 N Canon Dr,Beverly Hills,90210,,24 hours daily,ChargePoint Network,34.0682983,-118.3988571,9,"Parq Bar, Afternoon Tea, Afternoon Tea at Parq - Montage, The Rooftop Grill at Montage Beverly Hills, Mastro's Steakhouse, Nozawa Bar, Paninoteca By Scarpetta, Bouchon, Scarpetta"
CCSF-SFMTA,255 3rd St,San Francisco,94107,,24 hours daily,ChargePoint Network,37.7845657,-122.3994667,9,"Cafe Clementine, Shiki, San Francisco Travel, Starbucks, What's Up Dog, Starbucks, San Francisco Travel, Shiki, What's Up Dog"
WELCOME,245 N Beverly Dr,Beverly Hills,90210,,24 hours daily,ChargePoint Network,34.0680997,-118.4004881,9,"Galerie Michael, Il Fornaio, Kippan Restaurant, Daniel Maltzman Gallery Beverly Hills, Urasawa, Yojisan Sushi, Vosges Haut-Chocolat, Carol Lawrence Fine Art Galleries, Fleming's Prime Steakhouse & Wine Bar"
SARATOGA CITY,14493 Big Basin Way,Saratoga,95070,,24 hours daily,ChargePoint Network,37.2575912,-122.0339966,9,"Trattoria Restaurant Florentine, Hongs Gourmet, Big Basin Caf, Hachi Ju Hachi, Blue Rock Shoot, Masu Japanese Bistro, Bai Tong, Cinespots, La Mere Michelle"
West Custom House Garage,340 Tyler St,Monterey,93940,,24 hours daily; 4 hour parking 9am-6pm M-F,,36.60003,-121.8936,8,"Epsilon Fine Greek Restaurant, Monterey Crepe Company, Taco Bell, Turn 12, Vivi Coffee Monterey, Bay of Pines, Cibo Ristorante Italiano, Turn 12"
City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,91105,,24 hours daily; pay lot,,34.1449545,-118.1522347,8,"Green Street Tavern, Bird Pick Tea & Herb, Burger Haven, Kabuki Japanese Restaurant, The Melting Pot, Buca di Beppo Italian Restaurant, Le Pain Quotidien, Gyu-Kaku Japanese BBQ"
350GREEN,2690 Pacific Coast Hwy,Torrance,90505,,24 hours daily,ChargePoint Network,33.7918739,-118.3329086,8,"Daphne's California Greek, Jack in the Box, Sushi Boy, Boba Paradise, Mama Says, Restaurant Fukamoto, Blaze Fast-Fire'd Pizza, Islands Fine Burgers & Drinks"
CIVIC CENTER,1416 Oak St,Alameda,94501,,24 hours daily,ChargePoint Network,37.765112,-122.2435084,8,"Pampered Pup, Cellar Door, Angela's Bistro and Bar, Viva Mexico, Burgermeister, Pappo, Alameda Theatre, Q's Halal Chicken"
SANCHEZ STREET,1077 Sanchez St,San Francisco,94114,,24 hours daily,ChargePoint Network,37.7518932,-122.4295366,8,"Savor, DavidsTea, Martha & Brothers Coffee, La Boulange de Noe, Haystack Pizza, Eat it Up, Buttercup!, Casa Mexicana II, Noe Bagel"
Anaheim West Tower Parking,201 S. Anaheim Blvd.,Anaheim,92805,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.834587,-117.914017,8,"Casa del Sol Restaurant, Submarina, Robert Patin Photography, The Beefery, Bountiful Valley Farmers Market, South Pasadena Mercantile Company, The Find By Von Hemert Design, World Famous Grill"
LADWP,1 World Way,Los Angeles,90045,,24 hours daily,ChargePoint Network,33.9438857,-118.4088943,8,"Home Turf Sports Bar, III Forks Prime Steak House, 800 Degrees Neapolitan Pizzeria, James' Beach, Jody Maroni's Sausage Kingdom, Marmalade Cafe, Skyteam Lounge, Umami Burger"
LADWP,700 Exposition Park Dr,Los Angeles,90037,,24 hours daily,ChargePoint Network,34.0157877,-118.2862095,8,"Trimana, Street Food Cinema, California Science Center IMAX, California African American Museum, Mummies Of The World, IMAX C-Stand California Science Center, Rose Garden Cafe, NHM Grill"
350GREEN,1333 Castro St,San Francisco,94114,,24 hours daily,ChargePoint Network,37.7508049,-122.4339142,8,"Contigo, Hamano Sushi, Peasant Pies, Subs Inc., Hahn's Hibachi, Mitre Box, Qoio, Lupa Trattoria"
350GREEN,3250 Lakeshore Ave,Oakland,94610,,24 hours daily,ChargePoint Network,37.8099022,-122.2444916,8,"Lakeshore Cafe, Peet's Coffee & Tea, Arizmendi Bakery, Easy Lounge, Top Dog, Flavors of India, Slice Of Hollywood, The Burrito Shop"
CCSF-SFMTA,444 Stockton St,San Francisco,94108,,24 hours daily,ChargePoint Network,37.7898844,-122.4068379,8,"Campton Place Restaurant, Bouche, Starbucks, OneUP Restaurant & Lounge, Starbucks, Taqueria Mana, Boba Guys, Burritt Room + Tavern"
Best Western Plus Black Oak,1135 24th St,Paso Robles,93446,,24 hours daily,,35.6410124,-120.6872712,8,"Subway, Top Shelf Cafe & Deli, Tortilla Town, Good Ol' Burgers, Rustic Fire Pizza, Margie's Diner, Rustic Fire Pizza, Taco Bell"
Beach & Hyde Garage,655 Beach St,San Francisco,94109,,24 hours daily; pay lot,,37.8065991,-122.4202209,8,"Chloe Fine Arts, Museum of Vision, Art Attack SF, Grandeho's Kamekyo II, Buena Vista Cafe, Gary Danko, Academy of Art University Gallery, Starbucks"
PALO ALTO CA,528 High St,Palo Alto,94301,,24 hours daily,ChargePoint Network,37.443676,-122.1628799,8,"Pampas, Minokichi Restaurant, Alkymists, Amber Dhara, Spot A Pizza Place, Palo Alto Grill, La Boulange, Sprout Cafe"
WELCOME TO OCC,525 14th St,Oakland,94612,,24 hours daily,ChargePoint Network,37.8050537,-122.2730802,8,"Lunch Stop, No Worries Filipino Vegan Cuisine, Bagel Street Cafe, 475 Cafe, Fresh Fuel, Fountain Cafe, Twister Truck, La Salsa Fresh Mexican Grill"
CENTURY PARK,2000Avenue of the Stars,Los Angeles,90067,,24 hours daily,ChargePoint Network,34.0584869,-118.4143677,8,"Lupicia Tea, Habanero Grill, Skylight Studios, Cuvee, The Coffee Bean & Tea Leaf, The Stand, Craft, Annenberg Space For Photography"
CCSF-SFMTA,2055 Lombard St,San Francisco,94123,,24 hours daily,ChargePoint Network,37.7997284,-122.4351425,8,"Western Restaurant and Donut Shop, Alive! Vegetarian Cuisine, pomodoro, Sabrosa, Stock In Trade, Marina Sushi Bar, Cafe Claude Marina, D Den Thai Cuisine"
California Parking,400 Taylor St,San Francisco,94102,,Garage business hours,,37.7862505,-122.4110178,8,"Cityscape Bar and Restaurant, Taylor Street Coffee Shop, Aveline, Fish & Farm, Jasper's Corner Tap, Million Thai Restaurant & Bar, Naan-N-Curry, Velvet Room"
Marsh Street Parking Structure - Lower Level - ClipperCreek,881 Marsh St,San Luis Obispo,93401,,24 hours daily; pay lot,,35.279705,-120.6609,7,"Baxter Moerman Fine Jewelry, Chino's Rock & Tacos, Downtown Theatre Socal Cinemas, Granada Hotel & Bistro, Baxter Moerman Fine Jewelry, Downtown Theatre Socal Cinemas, Granada Hotel & Bistro"
DGS MAIN,1517 11th St,Sacramento,95814,,24 hours daily,ChargePoint Network,38.5738855,-121.4947568,7,"Cup of Gold, Dragon House, La Bou, Le Croissant Park Cafe, Gold Rush Grille, Vallejo's Taqueria & Cantina, The California Museum"
Marsh Street Parking Structure - Lower Level - Tesla,881 Marsh St,San Luis Obispo,93401,,24 hours daily; pay lot,,35.279705,-120.6609,7,"Baxter Moerman Fine Jewelry, Chino's Rock & Tacos, Downtown Theatre Socal Cinemas, Granada Hotel & Bistro, Baxter Moerman Fine Jewelry, Downtown Theatre Socal Cinemas, Granada Hotel & Bistro"
G&K,255 S Grand Ave,Los Angeles,90012,,24 hours daily,ChargePoint Network,34.0534353,-118.2514034,7,"Dan's Deli, Salata, Ocho Mexican Grill, Subway, The Moca Store, Etchea Cafe & Bakery, Wells Fargo History Museum"
"Carl's Jr - 2025 E. Katella Ave., Anaheim",2025 E Katella Avenue,Anaheim,92806,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,33.803741,-117.887863,7,"Starbucks, TOGO'S Sandwiches, Fresca's Mexican Grill, Panda Express, The Flame Broiler, Carl's Jr., Starbucks"
CCSF-SFMTA,360 Grove St,San Francisco,94102,,24 hours daily,ChargePoint Network,37.778097,-122.422812,7,"Monsieur Benjamin, Plj Scandinavian Restaurant & Bar, Boxing Room, DragonEats, Muka, Schulzies Bread Pudding, Hayes Valley Bakeworks"
Union Bank Bldg,445 S. Figueroa St.,Los Angeles,90071,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.052659,-118.257136,7,"Border Grill, George's Greek Grill, Let's Roll Sushi, Starbucks, Asian Box, La Salsa Fresh Mexican Grill, Jimmy John's"
SOUTHCOASTPLAZA,3333 Bear St,Costa Mesa,92626,,24 hours daily,ChargePoint Network,33.6916542,-117.8927841,7,"Ruby's Diner, Nello Cucina, Hamamori Restaurant and Lounge, Zcafe, The Surfing Heritage Museum & Gift Store, Pacific Whey Cafe, Signature Kitchen"
SANCHEZ STREET,1067 Sanchez St,San Francisco,94114,,24 hours daily,ChargePoint Network,37.7520713,-122.4295259,7,"Haystack Pizza, La Boulange de Noe, Martha & Brothers Coffee, Savor, DavidsTea, Eat it Up, Buttercup!, Noe Bagel"
LOS ALTOS,1-51 Plaza S,Los Altos,94022,,24 hours daily,ChargePoint Network,37.3788085,-122.1145236,7,"Red Berry Coffee Bar, Mikado Japanese Restaurant, Casa Lupe, LuLu's on Main Street, Art-N-Fun, Gallery 9, Los Altos Grill"
Tesla - Santana Row,333 Santana Row,San Jose,95128,,24 hours daily,,37.3222414,-121.9479865,7,"Cocola Bakery, Hand & Mind Gallery, Consuelo Mexican Bistro, Straits Restaurant, Lavazza Espression, LB Steak, Pizza Antica"
LA Live / JW Marriott / Ritz-Carlton Hotels,900 W. Olympic,Los Angeles,90015,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,34.045335,-118.266599,7,"Nest, Tacos El Gallito Truck, WP24, LA Market, Starbucks, Espressamente Illy, gLAnce Wine Bar"
Sunnyvale CalTrain Station,W Evelyn Ave & S Murphy Ave,Sunnyvale,94086,,Garage business hours; pay lot,,37.37793,-122.03,7,"Thai Basil, Del Monte Restaurant, La Marea Of The Sea, Hardy's Bavaria, Taverna Bistro, Coffee & More, Firehouse Grill and Brewery"
SF PARKING INC.,250 King St,San Francisco,94107,,24 hours daily,ChargePoint Network,37.7782409,-122.3932237,7,"Durso Cafe & Juice Bar, Victor's, District, Primo Patio Cafe, Umami Burger, The Melt 3rd & Townsend, Durso Cafe & Juice Bar"
BWP EV CHARGE,133 E Orange Grove Ave,Burbank,91502,,24 hours daily,ChargePoint Network,34.1813042,-118.3103357,7,"Season Thai Cuisine, Kabuki Japanese Restaurant, Market City Caffe, Mama Hong's Vietnamese Kitchen, Flavor of India, Fuddruckers, Golden Chicken"
Marsh Street Parking Structure - Upper Level,881 Marsh St,San Luis Obispo,93401,,24 hours daily; pay lot,,35.279705,-120.6609,7,"Baxter Moerman Fine Jewelry, Chino's Rock & Tacos, Downtown Theatre Socal Cinemas, Granada Hotel & Bistro, Baxter Moerman Fine Jewelry, Downtown Theatre Socal Cinemas, Granada Hotel & Bistro"
CITY OF NOVATO,913 Reichert Ave,Novato,94945,,24 hours daily,ChargePoint Network,38.106302,-122.566855,7,"Left Coast Station, Grant Avenue Bar and Grill at the Golden Egg, Mary's Place, Left Coast Depot, Masa Sushi, Grazie Restaurant, My Thai II"
CITY OF SB EV2,217 Helena Ave,Santa Barbara,93101,,24 hours daily,ChargePoint Network,34.4149884,-119.6917047,7,"Tri Tip Company, Harbor Meat & Seafood, Taqueria Altamirano, Union Ale, Seven Bar & Kitchen, Reds Bar & Tapas, Monys Mexican Food"
Monterey Plaza Hotel & Spa,400 Cannery Row,Monterey,93940,,MO: 24 hours; TU: 24 hours; WE: 24 hours; TH: 24 hours; FR: 24 hours; SA: 24 hours; SU: 24 hours,SemaCharge Network,36.612319,-121.8980432,7,"Encore Espresso, Cafe La Strada, C Restaurant & Bar, Cannery Row Delicatessen, Monterey Peninsula Art Foundation, Crystal Fox Glass Gallery, Schooners Coastal Kitchen & Bar"
IRVINE CO OFC,401 B St,San Diego,92101,,24 hours daily,ChargePoint Network,32.7174048,-117.1605699,7,"Ogawashi, Brooklyn Pizzeria, Starbucks, Los Amigos Mexican Cafe, Roast Coach Coffee Bar, Downtown Fish Joint, The Plaza Deli"
SARATOGA CITY,14421 big basin way,Saratoga,95070,,24 hours daily,ChargePoint Network,37.2589149,-122.0331573,7,"Rose International Market, Pat Smith Delicatessen of Saratoga, Gallery Saratoga, Golden Mirror Gallery, Ristorante Da Mario, Mint Leaf Cuisine, Indo Cafe Saratoga"
CARCHARGING,2185 N California Blvd,Walnut Creek,94596,,24 hours daily,ChargePoint Network,37.9093552,-122.0653839,7,"El Ranchero Taco Truck, Martha's Mexican Foods, Marley's Coffee, The Travlin' Hot Dawg, Starbucks, Murphy's Deli, Havana Cafe"
TOWN LOS GATOS,32 N. Santa Cruz Ave,Los Gatos,95030,,24 hours daily,ChargePoint Network,37.2234726,-121.9827423,7,"Cafe Delatti, The Lexington House, Cafe Rouge, Gardino Fresco, Round Table Pizza, Steamer's Grillhouse, Los Gatos Theatre"
CARCHARGING,2353 Webster St,Oakland,94612,,24 hours daily,ChargePoint Network,37.8127598,-122.2653899,7,"Frida Cafe, Pho 96, Sweet Bar Bakery, Hawker Fare, El Burrito Gordo, Sopranos Pizzeria, New Lakeside Cafe"
Paradise Point Resort,1404 Vacation Road,San Diego,92109,,MON: 24 hours | TUE: 24 hours | WED: 24 hours | THU: 24 hours | FRI: 24 hours | SAT: 24 hours | SUN: 24 hours,Blink Network,32.77485,-117.239356,7,"Barefoot Bar & Grill, Tropics Bar & Grill, Paradise Point Resort, Caveman Pizza, Dockside Restaurant, Baleen, Tidal"
City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,91105,,24 hours daily; pay lot,,34.1446949,-118.1499088,7,"Himalayan Cafe, 85C Bakery Cafe, City Thai, Crepes de Paris, Lineage Performing Arts Center, The Coffee Bean & Tea Leaf, El Toreo"
CCSF-SFMTA,123 O'Farrell St,San Francisco,94102,,24 hours daily,ChargePoint Network,37.7863655,-122.4071274,7,"Asian Box, Caff Central, Jazz Bistro At Les Joulins, Confetti Cafe at Macy's, Starbucks, Tortilla Kitchen at Macy's, FreshMarket Neiman Marcus"
City of Santa Monica Pier,200 Santa Monica Pier,Santa Monica,90405,,24 hours daily; pay lot,,33.9986803,-118.4797343,7,"Via Veneto, Greens Up Salads, M Hanks Gallery, O'Brien's Irish Pub & Restaurant, Espresso Cielo, Applegate Gallery, 212 Pier"
IRVINE CO OFC,600 W Broadway,San Diego,92101,,24 hours daily,ChargePoint Network,32.7161896,-117.168697,7,"Starbucks, Grand Central Cafe, Saro, Matisse Bistro, Museum of Contemporary Art San Diego - MCASD, Giovanni's Trattoria, Grab & Go"
SF PARKING INC.,260 King St,San Francisco,94107,,24 hours daily,ChargePoint Network,37.7767604,-122.3938374,7,"Tender Greens, Starbucks, Tender Greens, Panera Bread, Starbucks, Subway, Caff D'Amore"
Pacific View Mall,3295 E Main St,Ventura,93003,,24 hours daily,,34.268,-119.2492,6,"Red Robin Gourmet Burgers, California Pizza Kitchen, Panda Express, Jersey Mike's Subs, Sarku Japan, Subway Sandwiches"
BEVERLY HILLS,440 N Camden Dr,Beverly Hills,90210,,24 hours daily,ChargePoint Network,34.0694251,-118.4044671,6,"Gagosian Gallery, Home Restaurant, Garboushian Gallery, Everyday Cafe, Coffee Seletto, H.O.M.E. Beverly Hills"
CARCHARGING,707 Wilshire Blvd,Los Angeles,90017,,24 hours daily,ChargePoint Network,34.049261,-118.257024,6,"Just DOWNstairs, Public School 612, Daily Grill, Caffe Primo, Tossed, Euro Caf"
FENWICK & WEST,801 California,Mountain View,94041,,24 hours daily,ChargePoint Network,37.391014,-122.081313,6,"Mixx, Ginseng Korean BBQ + Tofu, Scott's Seafood, Posh Bagel, Shiva's Indian Restaurant, Kirin Chinese Restaurant"
